Sl. No,Error Description
1,"ERROR VCP2571 ""Instantiations must have brackets (): HRESP."" ""testbench.sv"" 141 15"
2,"ERROR VCP2571 ""Instantiations must have brackets (): HRDATA."" ""testbench.sv"" 141 23"
3,"ERROR VCP2571 ""Instantiations must have brackets (): HREADY."" ""testbench.sv"" 141 31"
4,"ERROR VCP2571 ""Instantiations must have brackets (): PRDATA."" ""testbench.sv"" 141 39"
5,"ERROR VCP2571 ""Instantiations must have brackets (): PSEL."" ""testbench.sv"" 141 45"
6,"ERROR VCP2571 ""Instantiations must have brackets (): PENABLE."" ""testbench.sv"" 141 54"
7,"ERROR VCP2571 ""Instantiations must have brackets (): PADDR."" ""testbench.sv"" 142 7"
8,"ERROR VCP2571 ""Instantiations must have brackets (): PWRITE."" ""testbench.sv"" 142 15"
9,"ERROR VCP2000 ""Syntax error. Unexpected token: )."" ""testbench.sv"" 142 23"
10,"ERROR VCP2020 ""module/macromodule...endmodule pair(s) mismatch detected. 1 <endmodule> tokens are missing."" ""testbench.sv"" 26  1"
11,"ERROR VCP2000 ""Syntax error. Unexpected token: =."" ""design.sv"" 6  12"
12,"ERROR VCP2020 ""module/macromodule...endmodule pair(s) mismatch detected. 1 <endmodule> tokens are missing."" ""testbench.sv"" 13  3"
13,"ERROR VCP2000 ""Syntax error. Unexpected token: end[_END]."" ""testbench.sv"" 13  3"
14,"ERROR VCP2000 ""Syntax error. Unexpected token: b1[_IDENTIFIER]."" ""testbench.sv"" 12  15"
15,"ERROR VCP2000 ""Syntax error. Unexpected token: void[__VOID]"
16,"ERROR VCP1004 ""String constant is not closed by double quote."" ""testbench.sv"" 15  56"
17,"ERROR VCP2000 ""Syntax error. Unexpected token: endmodule[_ENDMODULE]."" ""testbench.sv"" 17  10"
18,# VSIM: Error: Library `testbench' is either damaged or does not exist.
19,"No *.vcd file found. EPWave will not open. Did you use '$dumpfile(""dump.vcd""); $dumpvars;'?"
20,Error: ELBREAD_0081 testbench.sv (4): Design units instantiated in work.tb not found in searched libraries: work.
21,# ELBREAD: Error: Elaboration process completed with errors.
22,# VSIM: Error: Simulation initialization failed.
23,# ELBREAD: Error: ELBREAD_0081 testbench.sv (5): Design unit full_adder instantiated in work.tb not found in searched libraries: work.
24,# ELBREAD: Error: Elaboration process completed with errors.
25,"ERROR VCP2020 ""module/macromodule...endmodule pair(s) mismatch detected. 1 <endmodule> tokens are missing."" "
26,"ERROR VCP2000 ""Syntax error. Unexpected token: non-printable: \x0."" "
27,"ERROR VCP2020 ""begin...end pair(s) mismatch detected."
28,"ERROR VCP2000 ""Syntax error. Unexpected token: b1[_IDENTIFIER]."""
29,"ERROR VCP2020 ""begin...end pair(s) mismatch detected. 1 <end> tokens are missing."""
30,"ERROR VCP5103 ""Undeclared identifier: cout."""
31,"ERROR VCP2020 ""module/macromodule...endmodule pair(s) mismatch detected. 2 <endmodule> tokens are missing."" "
32,"ERROR VCP2000 ""Syntax error. Unexpected token: non-printable: \x0."" "
33,"ELAB2: Fatal Error: ELAB2_0036 Unresolved hierarchical reference to ""monitor./4/"" from module ""prientb"""
34,KERNEL: Error: E8005 : Kernel process initialization failed.
35,# VSIM: Error: Simulation initialization failed.
36,"ERROR VCP2000 ""Syntax error. Unexpected token"
37,"ERROR VCP2020 ""begin...end pair(s) mismatch detected."
38,"ERROR VCP2000 ""Syntax error. Unexpected token: begin[_BEGIN]."""
39,"always@()-- ERROR VCP2000 ""Syntax error. Unexpected token: )."
40,"ERROR VCP2617 ""Expression time has no value."""
41,"ERROR VCP2000 ""Syntax error. Unexpected token: example[_IDENTIFIER]."" ""testbench.sv"" 2  11"
42,"ERROR VCP2020 ""class...endclass pair(s) mismatch detected. 1 <class> tokens are missing."" ""testbench.sv"" 15  9"
43,"ERROR VCP2000 ""Syntax error. Unexpected token: endclass[_ENDCLASS]. This is a SystemVerilog keyword since IEEE Std 1800-2005 and cannot be used as an identifier.Use -v2k5, -v2k or -v95 argument for compilation."" ""testbench.sv"" 15  9"
44,"ERROR VCP2000 ""Syntax error. Unexpected token: endclass[_ENDCLASS]. This is a SystemVerilog keyword since IEEE Std 1800-2005 and cannot be used as an identifier. Use -v2k5, -v2k or -v95 argument for compilation."" ""testbench.sv"" 15  9"
45,"ERROR VCP2571 ""Instantiations must have brackets (): h."" ""testbench.sv"" 17  13"
46,"ERROR VCP2000 ""Syntax error. Unexpected token: ;."" ""testbench.sv"" 2  10"
47,"ERROR VCP2000 ""Syntax error. Unexpected token: types[_IDENTIFIER]."" ""testbench.sv"" 4  6"
48,"ERROR VCP2571 ""Instantiations must have brackets (): h."" ""testbench.sv"" 17  13"
49,"ERROR VCP2000 ""Syntax error. Unexpected token: (."" ""testbench.sv"" 5  16"
50,"ERROR VCP2000 ""Syntax error. Unexpected token: module[_MODULE]."" ""testbench.sv"" 16  7"
51,"ERROR VCP2000 ""Syntax error. Unexpected token: sai[_IDENTIFIER]."" ""testbench.sv"" 5  6"
52,Error: Fatal error occurred during simulation.
53,"WARNING VCP2814 ""Function cool should return a value."" "
54,"WARNING VCP2803 ""Function n1.cool result is ignored."""
55,"ERROR VCP5236 ""Class constructor used for object different from class or covergroup object"
56,"ERROR VCP2000 ""Syntax error. Unexpected token: ]."
57,"ERROR VCP2890 ""Unspecified argument is used for an argument that does not have a default value: operand."""
58,"ERROR VCP5286 ""Packed dimension cannot be specified for integer atom type."""
59,"ERROR VCP2000 ""Syntax error. Unexpected token: endclass[_ENDCLASS]."
60,"ERROR VCP2948 ""Method """"randomise"""" not found in class."
61,"ERROR VCP2571 ""Instantiations must have brackets ():"
62,"ERROR VCP5103 ""Undeclared identifier:"
63,"ERROR VCP2020 ""task...endtask pair(s) mismatch detected. 1 <endtask> tokens are missing."""
64,"ERROR VCP2020 ""function...endfunction pair(s) mismatch detected. 1 <endfunction> tokens are missing."""
65,"ERROR VCP2948 ""Method """"display"""" not found in class """
66,ELAB2: Fatal Error: ELAB2_0036 Unresolved hierarchical reference
67,"ERROR VCP7293 ""Assigning string A to a non-string object without casting is not allowed."
68,"ERROR VCP5069 ""Undefined class or package: seqr."" ""agent.sv"" 13  30"
69,"ERROR VCP2728 ""Module or interface instance must be named."" ""testbench.sv"" 13  1"
70,"ERROR VCP2852 ""Incompatible types at assignment: .this.s<seq> <- create(""""s"""",null,"""""""")<uvm_sequence_item>."" ""test.sv"" 11  6"
71,"ERROR VCP2852 ""Incompatible types at assignment: .this.s<seq> <- create(""""s"""",null,"""""""")<uvm_sequence_item>."" ""test.sv"" 11  6"
